number	date
3	2013-04-23
1	2013-04-04
5	2013-04-23
1	2013-04-04
9	2013-04-20
5	2013-04-19
6	2013-04-18
1	2013-04-17
11	2013-04-16
17	2013-04-15
1	2013-04-13
39	2013-04-12
40	2013-04-11
10	2013-04-10
8	2013-04-09
11	2013-04-08
2	2013-04-05
2	2013-04-03
2	2013-04-02
2	2013-03-24
1	2013-03-22
1	2013-03-21
2	2013-03-20
4	2013-03-19
1	2013-03-18
5	2013-03-17
4	2013-03-16
9	2013-03-15
30	2013-03-13
18	2013-03-12
11	2013-03-11
2	2013-03-08
9	2013-03-06
3	2013-03-05
2	2013-03-01
2	2013-02-28
6	2013-02-27
20	2013-02-26
4	2013-02-25
